Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,celltype,contrast,geneset
prerank,Interferon Gamma Response,0.7954727219773222,2.105919731613041,0.0,0.0028566327441528296,0.002,8/16,7.26%,RAPGEF6;SOD2;HIF1A;NAMPT;ARID5B;AUTS2;NFKB1;PELI1,Endothelial,region_SC,hallmark
prerank,Uptake And Actions Of Bacterial Toxins R-HSA-5339562,0.695316685245707,2.105218295074725,0.0,0.011415086003004518,0.024,11/16,21.76%,SYT1;SV2B;VAMP1;MAP2K4;STX1B;SNAP25;SYT2;SV2A;TXNRD1;HSP90AA1;HSP90AB1,Neuron,interaction_SC,reactome
prerank,Nuclear Signaling By ERBB4 R-HSA-1251985,0.7545025018478659,2.098596936241984,0.0,0.013121924548933845,0.016,5/13,4.99%,S100B;TAB2;GFAP;NRG1;APOE,Pericyte,global_condition,reactome
prerank,Estrogen-dependent Gene Expression R-HSA-9018519,0.6192133477161811,2.0955007995137827,0.0,0.03201397435388464,0.055,7/17,11.45%,PTGES3;HSP90AA1;HSP90AB1;DDX5;NCOA2;ERBB4;CREBBP,Excitatory,interaction_FX,reactome
prerank,TNF-alpha Signaling via NF-kB,0.5804919891497355,2.0938692312600513,0.0,0.0004506594207700974,0.001,13/26,22.95%,PTPRE;BCL6;SAT1;IL6ST;EIF1;F3;PFKFB3;TUBB2A;NFAT5;MARCKS;TNC;PDE4B;TSC22D1,Neuron,interaction_FX,hallmark
prerank,Cell Surface Interactions At Vascular Wall R-HSA-202733,0.6524118588728665,2.084978406560577,0.0,0.02896683925736976,0.027,11/23,13.93%,ITGAV;CD74;MAG;PIK3CB;SELENOP;ATP1B3;CD44;ATP1B1;TSPAN7;PPIA;CD99L2,Neuron,region_MCX,reactome
prerank,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",0.7447833311529373,2.077364841246331,0.0,0.013918343058201438,0.029,11/16,16.71%,ATP5MC3;UQCRB;UQCRH;ATP5F1B;LRPPRC;CYCS;COX4I1;NUBPL;NDUFA5;ATP5F1A;NDUFAF2,Endothelial,region_FX,reactome
prerank,Protein-protein Interactions At Synapses R-HSA-6794362,0.5646588748961404,2.075456160630351,0.0,0.031235089127938164,0.021,19/46,17.90%,PPFIBP1;GRIA3;LRRTM3;SLITRK4;NLGN1;NLGN4X;IL1RAPL2;IL1RAPL1;EPB41L3;GRIN2B;GRIA4;GRM5;LRRTM4;CASK;APBA1;DLGAP1;PTPRD;SLITRK5;DLGAP4,Astrocyte,interaction_FX,reactome
prerank,DARPP-32 Events R-HSA-180024,0.7519702571818414,2.07415291928597,0.00199203187250996,0.02819216326344264,0.047,5/14,6.78%,PPP3R1;PRKAR2B;PPP3CA;CALM1;PRKAR1B,Oligodendrocyte,region_FX,reactome
prerank,Innate Immune System R-HSA-168249,0.4998626800320327,2.0738560218184157,0.0,0.031806667984794285,0.022,64/183,17.05%,PPP3R1;ATP6V0C;EEF1A1;HSP90B1;PPIA;UBB;SCAMP1;CDC42;FTH1;HNRNPC;SKP1;CST3;ATP6V1D;VAPA;SRP14;DYNLL1;UBC;HSP90AB1;S100B;HMGB1;HSP90AA1;B2M;PTPRC;PGRMC1;HSPA8;CLU;XRCC5;ACTG1;PLCG2;ATP6V1G1;DHX36;CD81;HSPA1A;ATP6V0B;TAX1BP1;TUBB;FTL;WASL;ATG5;ATP6V1E1;EEA1;PIK3R1;CALM1;ATP6V1F;ABI1;RAB3A;ADAM10;ATP6V1H;PPP2CB;APP;PELI1;CD47;MAP3K7;TMEM30A;RAB14;ITPR2;HOOK3;CAPZA2;PPP3CA;ATP6AP2;PTPN11;LAMP2;PPP3CB;SEM1,Inhibitory,region_FX,reactome
prerank,Allograft Rejection,0.6599368864173244,2.065720246730926,0.0,0.004951599232725164,0.003,13/20,24.97%,ABI1;FYB1;PTPRC;CD74;EIF4G3;B2M;GALNT1;JAK2;HDAC9;STAT4;PRKCB;HIF1A;SRGN,Oligodendrocyte,interaction_FX,hallmark
prerank,Uptake And Actions Of Bacterial Toxins R-HSA-5339562,0.7126079833939548,2.063431653997113,0.002331002331002331,0.02474250853233667,0.035,11/16,20.34%,SV2C;SYT2;VAMP1;SNAP25;STX1B;TXNRD1;HSP90AA1;HSP90AB1;SV2A;MAP2K4;MAP2K1,Neuron,region_MCX,reactome
prerank,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",0.7455357698099817,2.0595068130437686,0.0,0.02155288941093119,0.046,8/12,11.83%,CPLX1;ABAT;STXBP1;RAB3A;SLC6A1;GAD1;GAD2;SYT1,Inhibitory,global_condition,reactome
prerank,Signaling By Interleukins R-HSA-449147,0.5616925885328542,2.0511034973616606,0.0,0.0242336517979385,0.026,23/75,13.30%,VAMP2;JAK1;HSP90B1;PPIA;UBB;CDC42;SOD1;SKP1;UBC;YWHAZ;S100B;HMGB1;HSP90AA1;HSPA8;HIF1A;HNRNPDL;PIK3R1;BRWD1;CANX;PPP2CB;APP;PELI1;MAP3K7,Inhibitory,region_FX,reactome
prerank,Myc Targets V1,0.6043519068214865,2.04520054772885,0.0,0.0030818079940231604,0.003,21/26,29.39%,EIF4G2;HNRNPA3;CANX;SLC25A3;VDAC1;PGK1;HNRNPA2B1;YWHAE;PPIA;PTGES3;RAN;HSP90AB1;HPRT1;YWHAQ;EIF1AX;HNRNPU;HNRNPC;CUL1;VDAC3;PSMD1;SRPK1,Neuron,region_MCX,hallmark
prerank,SARS-CoV-2 Infection R-HSA-9694516,0.5234053198787769,2.0444040839857696,0.0,0.027759185024456623,0.028,24/52,21.72%,TRAF3;MGAT5;ST6GALNAC3;HSP90AB1;MGAT4A;GPC5;SEC24D;RB1;TAB2;HSP90AA1;B2M;UBC;VPS41;ST6GAL1;NRP1;GALNT1;PDPK1;ISCU;PARP8;GJA1;UBB;LARP1;MAN2A1;GSK3B,Oligodendrocyte,interaction_FX,reactome
prerank,Mitochondrial Protein Import R-HSA-1268020,0.7551609399620396,2.0389721231391538,0.0,0.025798591213594943,0.041,9/12,13.86%,ATP5F1A;CCNI;SLC25A12;ATP5F1B;CHCHD10;SLC25A4;VDAC1;CHCHD3;CHCHD2,Neuron,region_MCX,reactome
